headpose,xCord,yCord,timestamp,count,numPerson,personId
"2","275.3904944247887","69.58771222432455","1457","343","1","0"
"2","291.62390637006916","66.41938883463541","1458","344","1","0"
"2","298.7577567178695","66.89882392883301","1458","345","1","0"
"2","300.1278906650231","63.767822265625","1458","346","1","0"
"2","292.15489221791756","59.959338378906246","1458","347","1","0"
"2","279.89044489626025","59.11339823404948","1458","348","1","0"
"2","279.08244148629615","57.26603800455729","1459","349","1","0"
"2","287.90379058337606","50.45428568522135","1459","350","1","0"
"2","291.09583319992316","54.239882405598955","1459","351","1","0"
"2","310.1608686603484","49.08681640625","1459","352","1","0"
"2","340.5738615442495","43.16703491210937","1459","353","1","0"
"1","361.3245499407659","42.22155049641927","1460","354","1","0"
"2","371.30480869480823","35.141392389933266","1460","355","1","0"
"1","380.4075327388576","36.14523213704427","1460","356","1","0"
"1","396.9131874959977","40.16389414469401","1460","357","1","0"
"2","409.3263354692303","22.667909749348958","1460","358","1","0"
"1","427.7745871622055","19.68612569173177","1461","359","1","0"
"1","446.62262563236425","3.878850809733073","1461","360","1","0"
"1","480.13530093333765","8.914805094401041","1461","361","1","0"
"2","542.0692378810195","3.6949078877766928","1461","362","1","0"
