raisHand,sleeping,eyeCoordX,eyeCoordY,timestamp
"0","0","380.1343702927731","282.6665339262589","1770"
"0","0","377.3861344807456","280.5773987977401","1771"
"0","0","376.88029275556505","287.09273379781973","1771"
"0","0","369.4183911775288","288.0697490857995","1771"
"0","0","366.63304160086165","289.5005168085513","1771"
"0","0","365.75340599534616","290.5917864260466","1771"
"0","0","366.2523508756355","290.45429063879925","1771"
"0","0","366.0520737935482","290.58790123980975","1771"
"0","0","366.6067026676744","291.084855950397","1771"
"0","0","369.4098688883074","289.75255966186523","1771"
"0","0","370.5431099485553","286.3213962057362","1771"
"0","0","371.28746653287607","287.69293163133705","1771"
"0","0","372.9913034393457","285.0630034571109","1771"
"0","0","372.47141094299025","285.20069412563157","1771"
"0","0","373.1237241754121","279.3092767052028","1771"
"0","0","373.5908632415334","279.5741127884906","1771"
"0","0","371.8988372948752","277.6357127272564","1772"
"0","0","371.9585853102105","276.48650977922523","1772"
"0","0","371.71449761641657","274.50431616409963","1772"
"0","0","369.5112985857366","276.6183740159739","1772"
"0","0","369.1567496705854","275.54553488026494","1772"
"0","0","367.7539953204434","274.38360048376995","1772"
"0","0","370.03838607569065","275.0939717500106","1772"
"0","0","371.45564211612685","271.4277619900911","1772"
"0","0","375.61746953206773","265.87103968081266","1772"
"0","0","375.4596002022045","255.4167888475501","1772"
"0","0","376.5350349097731","243.30227727475372","1772"
"0","0","373.87067621404475","241.71468320100203","1772"
"0","0","378.88455924805277","210.28009580529255","1772"
"0","0","378.2007194592052","168.6207533919293","1772"
"0","0","383.2564256522074","123.53249840114427","1772"
"0","0","385.5209821006328","91.41137496284816","1772"
"0","0","386.8462724320626","58.5188629316247","1772"
"0","0","393.23513003627653","51.08685783717943","1773"
"0","0","393.7247444225841","69.44949937903363","1773"
"0","0","390.69307925028096","83.68571405825408","1773"
"0","0","394.05784305773284","87.09614297618036","1773"
"0","0","396.4372225127152","88.54588052500849","1773"
"0","0","394.49606909135883","91.00808848505434","1773"
"0","0","395.5928415544866","88.64680082901664","1773"
"0","0","394.4790228702235","89.26918693210767","1773"
